'account_number','service_class','service_index','oc_class','char1','char2'
'7048209010',S036,'800003261','60804001',X,''
'7048209010',S036,'800001774','60804001',X,''
'7048209010',S036,'800001855','60804001',X,''
'7048209010',S004,'800001773','60401018',X,''
'7048209010',S004,'800001918','60804001',X,''
'7048209010',S004,'800001918','60401018',X,X
'7048209010',S004,'800001918','60401099',X,''
'7048209010',S004,'800001918','60401018',X,''
'7048209010',S004,'800001918','60401018','',X
'7048209010',S004,'800001918','91507998',X,''
'7048209010',S004,'800006185','60401018',X,X
'7048209010',S004,'800006185','60401018',X,''
'7048209010',S004,'800007611','60804001',X,''
'7048209010',S004,'800007611','60401018',X,''
'7048209010',S004,'800007611','91507998',X,''
'7048209010',S004,'800007611','60401018',X,X
'7048209010',S004,'800007611','60401099',X,''
'7048209010',S004,'800007611','60401018','',X
'7048209010',S004,'800007611','91507998',X,X
'7048209010',S004,'800002436','60804001',X,''
'7048209010',S004,'800002436','60401018',X,X
'7048209010',S004,'800002436','60401099',X,''
'7048209010',S004,'800002436','60401018',X,''
'7048209010',S004,'800002436','60401018','',X
'7048209010',S004,'800002436','91507998',X,''
'7048209010',S004,'800007312','60804001',X,''
'7048209010',S004,'800007312','60401018',X,X
'7048209010',S004,'800007312','60401099',X,''
'7048209010',S004,'800007312','60401018',X,''
'7048209010',S004,'800007312','60401018','',X
'7048209010',S004,'800007312','91507998',X,''
'7048209010',S004,'800003254','60401099',X,''
'7048209010',S004,'800001931','60401099',X,''
'7048209010',S004,'800001931','60401018','',X
'7048209010',S004,'800001931','60401018',X,X
'7048209010',S004,'800007790','60804001',X,''
'7048209010',S004,'800001931','91507998',X,''
'7048209010',S004,'800007556','60401018',X,''
'7048209010',S004,'800003262','91507998',X,''
'7048209010',S004,'800007447','60804001',X,''
'7048209010',S004,'800007447','60401018',X,''
'7048209010',S004,'800007447','60401018',X,X
'7048209010',S004,'800007447','60401099',X,''
'7048209010',S004,'800007447','60401018','',X
'7048209010',S004,'800007447','91507998',X,''
'7048209010',S004,'800006215','60804001',X,''
'7048209010',S004,'800006215','60401018',X,''
'7048209010',S004,'800006215','60401018',X,X
'7048209010',S004,'800006215','60401099',X,''
'7048209010',S004,'800006215','60401018','',X
'7048209010',S004,'800006215','91507998',X,''
'7048209010',S004,'800003262','60401099',X,''
'7048209010',S004,'800008830','60804001',X,''
'7048209010',S004,'800008830','60401018',X,X
'7048209010',S004,'800008830','60401018',X,''
